organizacion_id;nombre;siglas;tipo_entidad;proyectos;coordinados;programas;aportacion_neta_eur
999855340;UNIVERSIDAD DE CADIZ;UCA;HES;2;0;H2020;21073,25
974644458;CONSORCIO PARA EL DISENO, CONSTRUCCION, EQUIPAMIENTO Y EXPLOTACION DE LA PLATAFORMA OCEANICA DE CANARIAS;PLOCAN;PUB;2;0;H2020;276312,50
889331406;ATAMA ESTRATEGIA RESPONSABLE SL;;PRC;1;1;HORIZON;89390,00
972774492;ASOCIACION CENTRO TECNOLOGICO NAVAL Y DEL MAR;CTN Innovative solutions;REC;1;1;HORIZON;828125,00
999861354;UNIVERSIDAD AUTONOMA DE MADRID;UAM;HES;1;1;HORIZON;499750,00
949035488;FUNDACIO ACE;Fundacio ACE;REC;1;1;H2020;311684,93
999565601;FUNDACIO PRIVADA PER A LA RECERCA I LA DOCENCIA SANT JOAN DE DEU;FSJD-CERCA;REC;1;1;H2020;425437,50
968872473;DESCUBRE - FUNDACION ANDALUZA PARA LA DIVULGACION DE LA INNOVACION Y EL CONOCIMIENTO;DESCUBRE;OTH;1;1;H2020;33000,00
994030005;ASOCIACION EMPRESARIAL CENTRO TECNOLOGICO DE LA ENERGIA Y DEL MEDIO AMBIENTE DE LA REGION DE MURCIA;CETENMA;REC;1;1;H2020;1113811,50
966400428;FUNDACION UNIVERSITARIA SAN ANTONIO;UCAM;HES;1;1;H2020;687875,00
999614877;CENTRO DE INVESTIGACIONES ENERGETICAS MEDIOAMBIENTALES Y TECNOLOGICAS;CIEMAT;REC;1;1;H2020;690420,00
889809810;FRACTAL STRATEGY SOCIEDAD LIMITADA;;PRC;1;0;HORIZON;255000,00
932533266;FUNDACION INSTITUTO DE INVESTIGACION SANITARIA ARAGON;;REC;1;0;HORIZON;247500,00
999882985;UNIVERSITAT JAUME I DE CASTELLON;UJI;HES;1;0;HORIZON;24500,00
999828859;UNIVERSIDAD POLITECNICA DE CARTAGENA;UPCT;HES;1;0;HORIZON;28662,50
897573011;FUNDACION DE LA COMUNITAT VALENCIANA PARA LA GESTION DEL INSTITUTO DEINVESTIGACION SANITARIA Y BIOMEDICADE ALICANTE;ISABIAL;REC;1;0;HORIZON;8200,00
999844282;UNIVERSIDAD DE MURCIA;UNIVERSIDAD DE MURCIA;HES;1;0;HORIZON;28495,99
999851363;UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE;UMH;HES;1;0;HORIZON;27008,97
995517985;FUNDACIÓN SÉNECA-AGENCIA DE CIENCIA Y TECNOLOGÍA DE LA REGIÓN DE MURCIA;FUNDACIÓN SÉNECA;REC;1;0;HORIZON;15000,00
915873225;SENSING SOLUTIONS SL;;PRC;1;0;HORIZON;905708,00
999513415;AIMPLAS - ASOCIACION DE INVESTIGACION DE MATERIALES PLASTICOS Y CONEXAS;;REC;1;0;HORIZON;200200,00
999506819;INSTITUT DE RECERCA I TECNOLOGIA AGROALIMENTARIES;IRTA - CERCA;OTH;1;0;HORIZON;135437,50
920607019;AYUNTAMIENTO A GUARDA;;PUB;1;0;HORIZON;0,00
997992067;AYUNATMIENTO DE A CORUNA;;PUB;1;0;HORIZON;0,00
888578589;Noveolas Producciones S. L.;Noveolas Producciones;PRC;1;0;HORIZON;0,00
888578104;Consorcio de Turismo y Congresos de A Coruña;Consorcio de Turismo y Congresos de A Coruña;PUB;1;0;HORIZON;0,00
909350266;ALLARIZ;CONCELLO DE ALLARIZ;PUB;1;0;HORIZON;0,00
985418442;FUNDACIO PRIVADA ERSILIA;;REC;1;0;HORIZON;230000,00
892297472;FUNDACION REGENERATION ACADEMY;REGENERATION ACADEMY FOUNDATION;OTH;1;0;HORIZON;77500,00
919818312;DEPARTAMENT DE LA PRESIDENCIA - GENERALITAT DE CATALUNYA;;PUB;1;0;HORIZON;166625,00
891896474;ASOCIACION PARA EL DESARROLLO DE LADEMOCRACIA DELIBERATIVA Y PARTICIPATIVA;DELIBERATIVA;OTH;1;0;HORIZON;204750,00
956152281;UNIVERSIDAD INTERNACIONAL DE LA RIOJA SA;UNIR;HES;1;0;HORIZON;407072,50
987180059;AGENCIA DE RESIDUS DE CATALUNYA;ARC;PUB;1;0;HORIZON;233625,00
911291818;MEDCITIES - MEDCITES;;OTH;1;0;HORIZON;152981,00
891880954;MEDCRUISE ASSOCIATION;;OTH;1;0;HORIZON;66087,50
916526132;ECORYS ESPANA SL;ECORYS ES;PRC;1;0;HORIZON;219500,00
889819704;QUANTA SYSTEMS SL;QUANTA LABS;PRC;1;0;HORIZON;461875,00
935188835;AMBIENTA INGENIERIA Y SERVICIOS AGRARIOS Y FORESTALES SL;AMBIENTA;PRC;1;0;HORIZON;115641,25
891431650;OCEAN ECOSTRUCTURES;OE;PRC;1;0;HORIZON;952875,00
884918876;GPASEABOTS SL;;PRC;1;0;HORIZON;474906,25
884984157;CORAL SOUL;;OTH;1;0;HORIZON;432000,00
897183556;SEASTAINABLE VENTURES SL;;PRC;1;0;HORIZON;236687,50
891716248;ASOCIACION TURSIOPS;TURSIOPS;REC;1;0;HORIZON;211250,00
925969373;NTT DATA SPAIN SOLUCIONES TECNOLOGICAS SL;NTT DATA SPAIN SOLUCIONES TECNOLÓGICAS, S.L.U.;PRC;1;0;HORIZON;44970,00
999938081;NTT DATA SPAIN, SL;NTT DATA SPAIN, S.L.U.;PRC;1;0;HORIZON;549038,75
887869713;CLEYFER MAQUINARIA AGRICOLA SL;;PRC;1;0;HORIZON;413750,00
887735271;MASÍA EL CARMEN, S.L.;NARANJAS DEL CARMEN;PRC;1;0;HORIZON;160625,00
913299718;CONSELLERIA DE AGRICULTURA GANADERIA Y PESCA;Conselleria de Agricultura, Desarrollo Rural, Emergencia Climática y Transición Ecológica.;PUB;1;0;HORIZON;289075,00
999929739;UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA;ULPGC;HES;1;0;HORIZON;105495,00
951501713;FUNDACION CANARIA PARQUE CIENTIFICO TECNOLOGICO DE LA UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA;FCPCT ULPG;REC;1;0;HORIZON;161314,05
941584239;SIMBIOTICA SL;SIMBIOTICA;PRC;1;0;HORIZON;426187,50
996328905;TRABAJOS CATASTRALES SA SOCIEDAD UNIPERSONAL;TRACASA;PRC;1;0;HORIZON;343437,50
884166641;DINYCON SISTEMAS SL;;PRC;1;0;HORIZON;134205,00
913178274;AYUNTAMIENTO DE LAREDO;AYUNTAMIENTO DE LAREDO;PUB;1;0;HORIZON;437952,50
884077886;FUNDACION BEGIRUNE FUNDAZIOA;;OTH;1;0;HORIZON;178125,00
882802433;CONSORCIO PARA LA EXPLOTACION DEL CENTRO NACIONAL DE ANALISIS GENOMICO;;REC;1;0;HORIZON;499276,25
951915806;FUNDACION EMPRESA UNIVERSIDAD GALLEGA;FEUGA;OTH;1;0;HORIZON;252125,00
963416417;ASOCIACION EMPRESARIAL DE INVESTIGACION CENTRO TECNOLOGICO DEL CALZADOY DEL PLASTICO DE LA REGION DE MURCIA;CETEC;REC;1;0;HORIZON;377500,00
955078394;SENIOR EUROPA SOCIEDAD LIMITADA;Kveloce I+D+i;PRC;1;0;HORIZON;368125,00
905527787;ICP -Instituto de Catálisis y Petroleoquímica;;PRC;1;0;HORIZON;0,00
935222785;BARCELONA CICLE DE L'AIGUA SA;BCASA;PRC;1;0;HORIZON;186572,04
891136673;MINISTERIO PARA LA TRANSICION ECOLOGICA Y EL RETO DEMOGRAFICO;MINISTRY FOR THE ECOLOGICAL TRANSITION AND THE DEMOGRAPHIC CHALLENGE;PUB;1;0;HORIZON;0,00
941176645;GRUP BALEAR D'ORNITOLOGIA I DEFENSA DE LA NATURALESA;;OTH;1;0;HORIZON;0,00
873369377;SOCIEDAD PARA EL DESAROLLO DE LAS COMUNIDADES COSTERAS;SOLDECOCOS;OTH;1;0;HORIZON;223999,10
972498430;ASOCIACION PARA LA DEFENSA DE LA NATURALEZA;ASSOCIATION FOR THE DEFENSE OF THE NATURE;OTH;1;0;HORIZON;29867,15
887037162;PREDICTBY RESEARCH AND CONSULTING S.L.;PREDICTBY;PRC;1;0;HORIZON;247500,00
997459052;FUNDACIO INSTITUT CATALA DE RECERCA DE L'AIGUA;ICRA-CERCA;REC;1;0;HORIZON;139980,00
929545375;SCHLESINGER GROUP MARKET RESEARCH SPAIN SL;SCHLESINGER GROUP SPAIN;PRC;1;0;HORIZON;0,00
951714046;FUNDACION PARA EL FOMENTO DE LA INVESTIGACION SANITARIA Y BIOMEDICA DE LA COMUNITAT VALENCIANA;FISABIO;REC;1;0;HORIZON;0,00
900348375;SPHERICAL PIXEL S.L.;;PRC;1;0;HORIZON;291225,00
998175882;AGENCIA CATALANA DE L'AIGUA;ACA;PUB;1;0;HORIZON;0,00
903174082;PNO INNOVATION SL;;PRC;1;0;HORIZON;185625,00
949852422;ESKILARA S KOOP TXIKIA;ESKILARA;OTH;1;0;HORIZON;215350,00
891703056;INSTITUT MUNICIPAL D URBANISME;;PUB;1;0;HORIZON;80625,00
888575970;FUNDACIO RIVUS;;REC;1;0;HORIZON;35050,00
950897306;AJUNTAMENT DE GRANOLLERS;AJUNTAMENT DE GRANOLLERS;PUB;1;0;HORIZON;0,00
952817712;NATURALEA CONSERVACIO, SL;NATURALEA;PRC;1;0;HORIZON;34142,50
876935000;ASOCIACION EDMAKTUB;EDMAKTUB;REC;1;0;HORIZON;207250,00
996741252;TECNICAS Y SERVICIOS DE INGENIERÍA, S.L.;TSI;PRC;1;0;HORIZON;234491,25
877066823;EIT CULTURE AND CREATIVITY SOUTH WEST SL;;PRC;1;0;HORIZON;139125,00
904959658;TREE TECHNOLOGY SA;;PRC;1;0;HORIZON;285250,00
875568464;Healthy Cities S.L.;Healthy Cities;PRC;1;0;HORIZON;295125,00
999630494;UNIVERSIDAD DE VIGO;UVIGO;HES;1;0;HORIZON;167500,00
897134571;ALTUM INGENIERIA Y SERVICIOS SL;ALTUM;PRC;1;0;HORIZON;197695,75
999895983;UNIVERSITAT DE GIRONA;UNIVERSITAT DE GIRONA;HES;1;0;HORIZON;273356,25
998959642;UNIVERSIDAD DE BURGOS;UBU;HES;1;0;HORIZON;456062,50
969047752;VEOLIA SERVICIOS LECAM SA;VEOLIA;PRC;1;0;HORIZON;132500,00
906229194;TRANSFOLAB BCN;TRANSFOLAB BCN;REC;1;0;HORIZON;428125,00
890588235;ASSOCIACIO LICHEN INNOVACION SOCIAL;LICHEN SOCIAL INNOVATION;OTH;1;0;HORIZON;253675,00
886822889;TECHNAI TECHNOLOGY CULTURE AND SOCIETY SL;;PRC;1;0;HORIZON;194285,00
929115665;TEAMLABS SL;TEAMLABS;PRC;1;0;HORIZON;297283,88
915368340;CLUSTER MARITIMO MARINO DE ANDALUCIA;ANDALUSIAN MARITIME CLUSTER;REC;1;0;HORIZON;137937,00
994512095;FUNDACIO INSTITUT UNIVERSITARI PERA LA RECERCA A L'ATENCIO PRIMARIA DE SALUT JORDI GOL I GURINA;IDIAP Jordi Gol;REC;1;0;HORIZON;306875,00
997154957;CONSORCIO CENTRO DE INVESTIGACION BIOMEDICA EN RED M.P.;CIBER;REC;1;0;HORIZON;304290,00
937711417;FUNDACION RED DEPORTE Y COOPERACION;FUNDACION RED DEPORTE Y COOPERACION;OTH;1;0;HORIZON;39124,98
876881844;FUNDACION AI GRANADA RESEARCH & INNOVATION;;REC;1;0;HORIZON;27749,98
962234472;Era7 Information Technologies SL;Era7;PRC;1;0;H2020;247872,96
999619436;FUNDACIO INSTITUT DE CIENCIES FOTONIQUES;ICFO-CERCA;REC;1;0;H2020;99225,00
951102655;NEOALGAE MICRO SEAWEEDS PRODUCTS SL;NEOALGAE;PRC;1;0;H2020;247872,96
999848647;UNIVERSIDAD DE OVIEDO;UNIOVI;HES;1;0;H2020;247872,96
969706479;FUNDACIO PRIVADA PER A LA XARXA OBERTA, LLIURE I NEUTRAL, GUIFI.NET;GUIFI.NET;OTH;1;0;H2020;73625,00
947988470;ECOLOGISTAS EN ACCION;CODA;OTH;1;0;H2020;240693,75
951590080;MADRID DESTINO CULTURA TURISMO Y NEGOCIO SA;MADRID DESTINO SA;PRC;1;0;H2020;314000,00
949857563;OPEN EVIDENCE;Open Evidence;PRC;1;0;H2020;77500,00
985402146;VIRTUALWARE 2007 SA;Virtualware;PRC;1;0;H2020;150150,00
926504716;AYUNTAMIENTO DE ZAMUDIO;;PUB;1;0;H2020;338965,23
923269281;MANCOMUNIDAD DE SERVICIOS DEL TXORIERRI;;PUB;1;0;H2020;224256,61
923365893;MOBA-ISE MOBILE AUTOMATION SL;MOBA;PRC;1;0;H2020;309338,75
953380118;FUNDACION VIRTUALWARE LABS;VWLABS;;1;0;H2020;92662,50
956397691;ASOCIACION CLUSTER DE INDUSTRIAS DEMEDIO AMBIENTE DE EUSKADI;;OTH;1;0;H2020;320625,00
996478964;AGENCIA DE ECOLOGIA URBANA DE BARCELONA;BCNECOLOGIA;OTH;1;0;H2020;437048,75
997512402;GMV SOLUCIONES GLOBALES INTERNET SAU;GMV-SGI;PRC;1;0;H2020;380593,75
999541642;FUNDACIO HOSPITAL UNIVERSITARI VALL D'HEBRON - INSTITUT DE RECERCA;VHIR;REC;1;0;H2020;74322,40
948139596;FUTUREWATER SL;FUTUREWATER SL;PRC;1;0;H2020;79500,00
999773666;STARLAB BARCELONA SL;STARLAB;PRC;1;0;H2020;337625,00
997929890;HOSPITAL SANT JOAN DE DEU;HSJD;REC;1;0;H2020;131250,00
930282963;ASSERTA GLOBAL HEALTHCARE SOLUTIONS;;PRC;1;0;H2020;50268,75
912227092;OMADA INTERACTIVA SLL;;PRC;1;0;H2020;269087,50
900718236;CLICLAB TRANSFORMATIVE AGENT SL;;PRC;1;0;H2020;45106,25
999822069;CONSEJERÍA DE SOSTENIBILIDAD Y MEDIO AMBIENTE;;PUB;1;0;H2020;67250,00
993725910;EUROMEDITERRANEAN IRRIGATORS COMMUNITY;EIC;OTH;1;0;H2020;150000,00
911261360;ASOCIACION MEDIOAMBIENTAL INTERNACIONAL DE GESTORES DEL OLOR;;OTH;1;0;H2020;103812,50
999846513;UNIVERSIDAD PABLO DE OLAVIDE;;HES;1;0;H2020;10582,00
951814635;INSTITUTO MUNICIPAL DE GESTION MEDIOAMBIENTAL - JARDIN BOTANICO DE CORDOBA;IMGEMA;PUB;1;0;H2020;5332,00
999876583;UNIVERSIDAD DE HUELVA;UHU;HES;1;0;H2020;12000,00
999849423;UNIVERSIDAD DE JAEN;;HES;1;0;H2020;14920,00
998619463;FUNDACION PUBLICA ANDALUZA PROGRESO Y SALUD M.P.;FPS;REC;1;0;H2020;9332,00
907656161;SCIPEDIA SL;;PRC;1;0;H2020;61250,00
999874546;UNIVERSIDAD COMPLUTENSE DE MADRID;UCM;HES;1;0;H2020;121591,25
954020706;MINISTERIO DE ECONOMIA, COMERCIO Y EMPRESA;MINISTRY OF ECONOMY, TRADE AND BUSINESS;PUB;1;0;H2020;100375,00
937664954;AREA METROPOLITANA DE BARCELONA;AMB;PUB;1;0;H2020;122218,75
909736326;BINEO CONSULTING S.L.;;PRC;1;0;H2020;515625,00
941103216;ORGANIZACION DE PRODUCTORES DE TUNIDOS Y PESCA FRESCA DE LA ISTA DE TENERIFE;ISLATUNA;OTH;1;0;H2020;230000,00
952434077;AJUNTAMENT DE SABADELL;;PUB;1;0;H2020;286812,50
999825270;UNIVERSIDAD DE LA LAGUNA;UNIVERSITYOF LA LAGUNA;HES;1;0;H2020;322812,55
911397160;DEPARTAMENT D'ECONOMIA I HISENDA;;PUB;1;0;H2020;67500,00
999886283;UNIVERSIDAD REY JUAN CARLOS;URJC;HES;1;0;H2020;235541,25
906487505;FEDERACIO SALUT MENTAL CATALUNYA;;OTH;1;0;H2020;76250,00
959252207;SERVICIO REGIONAL DE INVESTIGACION Y DESARROLLO AGROALIMENTARIO DEL PRINCIPADO DE ASTURIAS;SERIDA;REC;1;0;H2020;140000,00
920949817;INSTITUTO REGIONAL DE INVESTIGACION Y DESARROLLO AGROALIMENTARIO Y FORESTAL DE CASTILLA-LA MANCHA;IRIAF;REC;1;0;H2020;0,00
942573445;ASOCIACION PARA EL DESARROLLO DEL GUADAJOZ Y CAMPINA ESTE DE CORDOBA;;OTH;1;0;H2020;191875,00
934933046;SCIENSEED SL;SCIENSEED;PRC;1;0;H2020;245968,75
951804062;FUNDACION CENTRO GALLEGO DE INVESTIGACIONES DEL AGUA;;REC;1;0;H2020;224437,50
999688694;INSTITUTO TECNOLOGICO DEL EMBALAJE, TRANSPORTE Y LOGISTICA;ITENE;REC;1;0;H2020;745500,00
947977218;FUNDACION CENTRO ANDALUZ DE INVESTIGACIONES DEL AGUA;;OTH;1;0;H2020;27750,00
998806479;BAX INNOVATION CONSULTING SL;Bax & Company;PRC;1;0;H2020;139125,00
925741132;SOCIEDAD ANONIMA AGRICULTORES DE LAVEGA DE VALENCIA;S.A. AGRICULTORES DE LAVEGA DE VALENCIA;PRC;1;0;H2020;539875,00
997054077;ISARDSAT SL;isardSAT;PRC;1;0;H2020;44000,00
894026012;LOBELIA EARTH SL;LOBELIA;PRC;1;0;H2020;100000,00
950103652;CONSORCI DEL MUSEU DE CIENCIES NATURALS DE BARCELONA;EL CONSORCIO DELMUSEO DE CIENCIAS NATURALES DE BARCELONA;REC;1;0;H2020;23000,00
893681177;VIELCA INGENIEROS SA;;PRC;1;0;H2020;347815,00
895895202;ANEL.LIDES SL;ANEL.LIDES, SERVEIS AMBIENTALS MARINS;PRC;1;0;H2020;58500,00
984205942;NEAPOLIS;;PUB;1;0;H2020;35000,00
914495243;AJUNTAMENT DE VILANOVA I LA GELTRU;;PUB;1;0;H2020;194400,00
986130034;NAIDER ANALISIS Y ACCION SOCIOECONOMICA SL;Naider;PRC;1;0;H2020;475324,75
892013456;OARSOALDEA SA;OARSOALDEA;OTH;1;0;H2020;151650,00
968815728;SERVEIS DE SUPORT A LA GESTIO SL;ENT;PRC;1;0;H2020;360125,00
964398445;DIPUTACION PROVINCIAL DE BARCELONA;;PUB;1;0;H2020;94000,00
971672184;AYUNTAMIENTO DE CASTELLON DE LA PLANA;AJUNTAMENT DE CASTELLO;PUB;1;0;H2020;457281,25
895846702;DE LA MATA MUNOZ ALMUDENA;;PRC;1;0;H2020;235812,50
952740306;BIPOLAIRE ARQUITECTOS SLP;;PRC;1;0;H2020;431112,50
916108741;QUALIFYING PHOTOVOLTICS, SL;QPV;PRC;1;0;H2020;215775,00
910613594;BETTAIR CITIES SL;;PRC;1;0;H2020;517113,65
969236417;AYUNTAMIENTO DE ZARAGOZA;;PUB;1;0;H2020;156489,00
952530010;FUNDACION ZARAGOZA CIUDAD DE CONOCIMIENTO;FUNDACION ZARAGOZA CONOCIMIENTO;REC;1;0;H2020;126365,58
949752221;LIBELIUM LAB SL;;PRC;1;0;H2020;150066,57
952545239;DEIMOS ENGINEERING AND SYSTEMS SLU;;PRC;1;0;H2020;18900,00
974250444;FUNDACION CENTRO TECNOLOGICO ACUICULTURA DE ANDALUCIA;CTAQUA;REC;1;0;H2020;143875,00
998709188;FUNDACION DE LA COMUNIDAD VALENCIANA PARA LA INVESTIGACION, PROMOCION Y ESTUDIOS COMERCIALES DE VALENCIAPORT;FV;REC;1;0;H2020;221250,00
907702236;ALPHA UNMANNED SYSTEMS SL;;PRC;1;0;H2020;193375,00
999619824;DEIMOS SPACE SOCIEDAD LIMITADA UNIPERSONAL;DEIMOS;PRC;1;0;H2020;96643,75
957254201;ASOCIACION CLUSTER DE EMPRESAS DE TECNOLOGIAS DE LA INFORMACION ELECTRONICA Y TELECOMUNICACIONES DE ARAGON;TECN;OTH;1;0;FP7;93090,00
